src,trg
Wir haben ein durchlaufendes Meme - ernst zu sein.,We have a serious meme running through.
"Hallo. Ich möchte Sie bitten Ihren Arm zu heben und zurück zu winken, genau so, wie ich -- ziemlich königliches Winken.","Hi. I'm going to ask you to raise your arms and wave back, just the way I am -- kind of a royal wave."
"Wir sind von der Natur zum Spielen programmiert schon als wir geboren waren, bis zum hohen Alter.",We're designed by nature to play from birth to old age.
"Aber wir sind nicht nur einfach damit geflogen. Wir flogen 100 Meter über der Spitze der Baumkronen, um dieses Molekül zu messen -- unglaublicher gefährlicher Kram.",But we didn't just fly it. We were flying at 100 meters above the top of the canopy to measure this molecule -- incredibly dangerous stuff.
Es verstärkt unser Freimut zu einer Änderung.,It increases our openness to change.
In bürokratischen Schulsystemen werden die Lehrer in den Klassen alleine gelassen und haben sich an viele Unterrichtsvorgaben zu halten.,"In bureaucratic school systems, teachers are often left alone in classrooms with a lot of prescription on what they should be teaching."
"Das senkt die Kosten, sichtbar am blauen Balken.",This is the blue bar which is driving costs down.
"Der andere ist die Überzeugung, dass alle Kinder erfolgreich sein können.",The other part is the belief that all children are capable of success.
"Ich werde versuchen, Englisch zu sprechen.",I'm trying to do this in English.
Wir steigen an einer dieser Säulen auf.,We're moving up one of these pillars.
"Oder nehmen wir Korea, am anderen Ende des Spektrums.","Or take Korea, at the other end of the spectrum."
"Sie haben somit die richtigen Voraussetzungen, um stärkere pädagogische Methoden zu entwickeln.",They provide them with the kind of development they need to develop stronger pedagogical practices.
Ich möchte Ihnen ein Beispiel für solcherlei Irrationalität geben und mit Ihnen über Betrug reden.,"And I want to give you one example of one of these irrationalities, and I want to talk to you about cheating."
Also begann ich wie so oft mit einem einfachen Experiment.,"So, like we usually do, I decided to do a simple experiment."
Und hier ist einer meiner Lieblinge. Was für ein Gesicht!,And then one of my favorites. What a face!
Angst ist der Feind vom Spielen.,Fear is the enemy of play.
Ozeane kommen und gehen. Gebirge kommen und gehen. Gletscher kommen und gehen.,Oceans come and go. Mountains come and go. Glaciers come and go.
"Geld kann für Lehrergehälter ausgegeben werden Korea etwa investiert viel, um die Lehrerlaufbahn attraktiv zu machen.","One way you can spend money is by paying teachers well, and you can see Korea investing a lot in attracting the best people into the teaching profession."
"Das ganze Geld wurde also dafür verwendet und der blaue Balken, die Klassengröße, lässt die Kosten steigen.","So they have invested all their money into there, and the blue bar, class size, is driving costs up."
vielleicht wussten Sie das nicht.,Maybe you didn't know that.
Das ist ein grosser Vorteil.,It is a huge benefit.
In der Vergangenheit wurden unterschiedliche Schüler gleich unterrichtet.,"In the past, different students were taught in similar ways."
Der Großteil der Biomasse im Meer besteht aus Geschöpfen wie diesem.,Most of the biomass in the ocean is made out of creatures like this.
Wir sind nicht immer richtig als Führerperson.,We're not always right as leaders.
"Ich denke, das Problem ist, dass wir das Meer für zu selbstverständlich halten.","And the problem, I think, is that we take the ocean for granted."
"Und dann was wird geschehen? Sie werden bessere Dienstleistungen geben -- nicht schlechter, aber besser.","What happens? They give better service -- not worse, but better."
"Wer hatte Recht, wer Unrecht?","Who was right, who wrong?"
"Dies spiegelt die Überzeugung wider, dass nur manche Kinder eine weltklasse Leistung erbringen können.","You know, students are divided up, reflecting the belief that only some children can achieve world-class standards."
Niemand mochte es recht glauben.,People were stunned by the results.
Also versuchten wir das zu überprüfen.,"So, we try to test this."
"Ich hatte ""Anne Frank"", ""The Great Escape"", ""Shoah"", ""Triumph des Willens"".","I had ""Anne Frank,"" ""The Great Escape,"" ""Shoah,"" ""Triumph of the Will."""
