src,trg
Zwei junge weiße Männer sind im Freien in der Nähe vieler Büsche.,"Two young, White males are outside near many bushes."
Mehrere Männer mit Schutzhelmen bedienen ein Antriebsradsystem.,Several men in hard hats are operating a giant pulley system.
Ein kleines Mädchen klettert in ein Spielhaus aus Holz.,A little girl climbing into a wooden playhouse.
Ein Mann in einem blauen Hemd steht auf einer Leiter und putzt ein Fenster.,A man in a blue shirt is standing on a ladder cleaning a window.
Zwei Männer stehen am Herd und bereiten Essen zu.,Two men are at the stove preparing food.
"Ein Mann in grün hält eine Gitarre, während der andere Mann sein Hemd ansieht.",A man in green holds a guitar while the other man observes his shirt.
Ein Mann lächelt einen ausgestopften Löwen an.,A man is smiling at a stuffed lion
Ein schickes Mädchen spricht mit dem Handy während sie langsam die Straße entlangschwebt.,A trendy girl talking on her cellphone while gliding slowly down the street.
Eine Frau mit einer großen Geldbörse geht an einem Tor vorbei.,A woman with a large purse is walking by a gate.
Jungen tanzen mitten in der Nacht auf Pfosten.,Boys dancing on poles in the middle of the night.
"Eine Ballettklasse mit fünf Mädchen, die nacheinander springen.",A ballet class of five girls jumping in sequence.
"Vier Typen, von denen drei Hüte tragen und einer nicht, springen oben in einem Treppenhaus.",Four guys three wearing hats one not are jumping at the top of a staircase.
Ein schwarzer Hund und ein gefleckter Hund kämpfen.,A black dog and a spotted dog are fighting
Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor.,A man in a neon green and orange uniform is driving on a green tractor.
Mehrere Frauen warten in einer Stadt im Freien.,Several women wait outside in a city.
Eine Frau mit schwarzem Oberteil und Brille streut Puderzucker auf einem Gugelhupf.,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.
Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen.,A little girl is sitting in front of a large painted rainbow.
"Ein Mann liegt auf der Bank, an die auch ein weißer Hund angebunden ist.",A man lays on the bench to which a white dog is also tied.
Fünf Personen sitzen mit Instrumenten im Kreis.,Five people are sitting in a circle with instruments.
Eine Gruppe älterer Frauen spielt zusammen Klarinette von Notenblättern.,A bunch of elderly women play their clarinets together as they read off sheet music.
Ein großes Bauwerk ist kaputt gegangen und liegt auf einer Fahrbahn.,A large structure has broken and is laying in a roadway.
Eine große Menschenmenge steht außen vor dem Eingang einer Metrostation.,A large crowd of people stand outside in front of the entrance to a Metro station.
"Ein Mann, der ein Tattoo auf seinem Rücken erhält.",A man getting a tattoo on his back.
Zwei Kinder sitzen auf einer kleinen Wippe im Sand.,Two children sit on a small seesaw in the sand.
"Ein Mann, der eine reflektierende Weste und einen Schutzhelm trägt, hält eine Flagge in die Straße.",A man wearing a reflective vest and a hard hat holds a flag in the road
Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene.,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene."
Ein Mann in grünen Hosen läuft die Straße entlang.,A man in green pants walking down the road.
Das kleine Kind klettert an roten Seilen auf einem Spielplatz.,The small child climbs on a red ropes on a playground.
"Du weißt, dass ich aussehe wie Justin Bieber.",You know i am looking like Justin Bieber.
Ein junger Mann in einer schwarz-gelben Jacke blickt etwas an und lächelt.,A young man in a black and yellow jacket is gazing at something and smiling.
"Ein Mann, der mit einer Tasse Kaffee an einem Urinal steht.",A man standing at a urinal with a coffee cup.
Fünf gehende Personen mit einem mehrfarbigen Himmel im Hintergrund.,Five people walking with a multicolored sky in the background.
"Ein alter Mann, der allein ein Bier trinkt.",A old man having a beer alone.
Ein geschulter Polizeihund sitzt neben dem Hundeführer vor dem Polizeitransporter.,A trained police dog sits next to his handler in front of the police van.
Eine Person fährt auf einer verschneiten Straße Fahrrad.,A person riding a bike on a snowy road.
"Fünf Männer, die alle weiße Hemden, Krawatten und schwarze Freizeithosen tragen, unterhalten sich hinter einem Lieferwagen.","Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van."
Ein Mann mit einem nach hinten gerichteten Hut arbeitet an Maschinen.,A man with a backwards hat works on machinery.
Eine schwarze Frau und ein weißer Mann arbeiten in einer Fabrikumgebung und packen Gläser mit Kerzen in Kartons.,A black woman and a white man working in a factory setting packing jars with candles into boxes.
Ein asiatischer Mann kehrt den Gehweg.,Asian man sweeping the walkway.
"Ein Mann lehnt sich in ein Auto, um mit dem Fahrer zu reden, während ein Mann auf einem Fahrrad zusieht.","A man leans into a car to talk to the driver, as a man on a bicycle looks on."
Zwei Kleinkinder im Freien auf dem Gras.,Two young toddlers outside on the grass.
Leute sehen einer Person in einem seltsamen Fahrzeug auf einem Platz zu.,People are watching a person in a weird vehicle in a plaza.
Ein Mann geht an einem silbernen Fahrzeug vorbei.,A man walks by a silver vehicle.
Eine schöne Braut geht auf einem Gehweg mit ihrem neuen Ehemann.,A beautiful bride walking on a sidewalk with her new husband.
Ein kleiner Junge spielt bei McDonald's GameCube.,A little boy playing GameCube at a McDonald's.
Ein weißer Hund schüttelt sich am Rande eines Strands mit einem orangefarbenen Ball.,A white dog shakes on the edge of a beach with an orange ball.
"Eine Gruppe von Personen, die im Park grillen.",A group of people having a barbecue at a park.
Ein Mann mit Sonnenbrille legt seinen Arm um eine Frau in einer schwarz-weißen Bluse.,A man in sunglasses puts his arm around a woman in a black and white blouse.
"Ein Mann mit einem Luftballonhut und Leute, die im Freien an Picknicktischen essen.",A man with a balloon hat and people eating outdoors at picnic tables.
"Ein Junge, der während eines Taekwondo-Wettbewerbs einen Sprungtritt über drei Kinder macht und dabei auf Holz tritt.",A boy jump kicking over three kids kicking wood during a tae kwon do competition.
"Ein Junge in einer roten Jacke, der Wasser auf einen Mann in einem weißen Hemd gießt.",A boy in a red jacket pouring water on a man in a white shirt
"Ein Mann mit einer roten Jacke, der sich vor der Sonne schützt und versucht, ein Stück Papier zu lesen.",A man with a red jacket is shielding himself from the sun trying to read a piece of paper.
"Männer, die eine Straße mit Kindern entlang laufen.",Men walking down a street with children.
"Ein kleiner Junge, der auf der Straße steht, während ein Mann in einem Overall an einer Steinwand arbeitet.",A little boy is standing on the street while a man in overalls is working on a stone wall.
Ein schwarzer Hund springt über einen Baumstamm.,A black dog leaps over a log.
"Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen.","A man in a suit is running past two other gentleman, also dressed in a suit."
"Ein Mann in einem roten Hemd, der mit dem Fahrrad um Wasser herum fährt.",Man in a red shirt riding his bicycle around water.
"Ein Mann, der barfuß ist, olivgrüne kurze Hosen trägt, auf einem kleinen Propangasgrill Hotdogs grillt und gleichzeitig eine blaue Kunststofftasse hält.",A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.
Ein Hund rennt im Schnee.,A dog is running in the snow
"Eine Menschenmenge steht und wartet, bis die Ampel grün wird.",A crowd is standing and waiting for the green light.
"Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet.",Man on skis looking at artwork for sale in the snow
"Sieben Kletterer klettern eine Felswand hoch, während ein anderer Mann dasteht und das Seil hält.",Seven climbers are ascending a rock face whilst another man stands holding the rope.
Der gelenkige Körper des jungen Turners schwebt über dem Schwebebalken.,The young gymnast's supple body soars above the balance beam.
Ein Junge schiebt ein Spielzeug-Geländefahrzeug um einen Gummi-Pool.,A young boy is pushing a toy ATV around a rubber pool
"Eine Frau in einer roten Windjacke, die über ein auf einem Dach installiertes Fernrohr auf die darunterliegende Stadt blickt.",Woman in red windbreaker looking though a rooftop binoculars at the city below.
