Wall time,Step,Value
1546100774.8142555,1,0.0
1546100844.8371294,100,1.6033633947372437
1546100918.5048714,200,1.88204026222229
1546100990.928323,300,3.9623849391937256
1546101062.4966815,400,5.12199592590332
1546101136.5821722,500,6.838351726531982
1546101208.2711153,600,7.718217849731445
1546101281.8210022,700,8.673630714416504
1546101354.1168866,800,9.109766006469727
1546101425.6616085,900,10.195964813232422
1546101497.3761458,1000,10.903663635253906
1546101570.6090813,1100,11.396397590637207
1546101644.6107278,1200,11.94933032989502
1546101716.9737024,1300,12.691100120544434
1546101791.5106452,1400,13.289527893066406
1546101864.8287182,1500,12.887856483459473
1546101934.5863512,1600,13.657154083251953
1546102003.9906635,1700,13.365559577941895
1546102077.041545,1800,14.77375602722168
1546102150.6775055,1900,14.626169204711914
1546102223.4178243,2000,15.138330459594727
1546102294.6459053,2100,15.365571022033691
1546102366.8837364,2200,15.219962120056152
1546102439.5339692,2300,15.44611644744873
1546102511.2455134,2400,15.335175514221191
1546102583.5316353,2500,15.205503463745117
1546102655.006688,2600,15.815032958984375
1546102727.7303696,2700,16.099300384521484
1546102798.7127793,2800,15.048185348510742
1546102872.6532238,2900,15.718896865844727
1546102946.1629124,3000,15.630373001098633
1546103016.836139,3100,15.657706260681152
